"Level";"Place0";"Place1";"Place2";"Longitude";"Latitude";"Zoom";"Icon"
2;"Switzerland";"Zürich (ZH)";"Gattikon";"E8.55058";"N47.28462";;
2;"Switzerland";"Zürich (ZH)";"Thalwil";"E8.56916";"N47.29022";;
2;"Switzerland";"Zürich (ZH)";"Erlenbach ZH";"E8.59159";"N47.30229";;
2;"Switzerland";"Zürich (ZH)";"Herrliberg";"E8.61688";"N47.28519";;
2;"Switzerland";"Zürich (ZH)";"Hombrechtikon";"E8.76387";"N47.25297";;
2;"Switzerland";"Zürich (ZH)";"Feldbach";"E8.78215";"N47.23890";;
2;"Switzerland";"Zürich (ZH)";"Forch";"E8.64823";"N47.32539";;
2;"Switzerland";"Zürich (ZH)";"Küsnacht ZH";"E8.58353";"N47.31687";;
2;"Switzerland";"Zürich (ZH)";"Männedorf";"E8.69382";"N47.25469";;
2;"Switzerland";"Zürich (ZH)";"Meilen";"E8.63990";"N47.26809";;
2;"Switzerland";"Zürich (ZH)";"Oetwil am See";"E8.72322";"N47.27018";;
2;"Switzerland";"Zürich (ZH)";"Stäfa";"E8.73104";"N47.23895";;
2;"Switzerland";"Zürich (ZH)";"Uerikon";"E8.75674";"N47.23456";;
2;"Switzerland";"Zürich (ZH)";"Uetikon am See";"E8.67692";"N47.26182";;
2;"Switzerland";"Zürich (ZH)";"Zumikon";"E8.62327";"N47.33140";;
2;"Switzerland";"Zürich (ZH)";"Zollikerberg";"E8.60226";"N47.34800";;
2;"Switzerland";"Zürich (ZH)";"Zollikon";"E8.57417";"N47.33827";;
2;"Switzerland";"Zürich (ZH)";"Fehraltorf";"E8.75227";"N47.38712";;
2;"Switzerland";"Zürich (ZH)";"Hittnau";"E8.82410";"N47.36092";;
2;"Switzerland";"Zürich (ZH)";"Kemptthal";"E8.70568";"N47.45281";;
2;"Switzerland";"Zürich (ZH)";"Grafstal";"E8.69821";"N47.44387";;
2;"Switzerland";"Zürich (ZH)";"Winterberg ZH";"E8.69208";"N47.45655";;
